generation	mean	max	min	deviation	diversity
155	23.3238	23.3238	23.3238	1.72278e-05	0
156	23.3238	23.3238	23.3238	1.72278e-05	0
157	23.3238	23.3238	23.3238	1.72278e-05	0
158	23.3238	23.3238	23.3238	1.72278e-05	0
159	23.3238	23.3238	23.3238	1.72278e-05	0
160	23.3238	23.3238	23.3238	1.72278e-05	0
161	23.3238	23.3238	23.3238	1.72278e-05	0
162	23.3238	23.3238	23.3238	1.72278e-05	0
163	23.3238	23.3238	23.3238	1.72278e-05	0
164	23.3238	23.3238	23.3238	1.72278e-05	0
165	23.3238	23.3238	23.3238	1.72278e-05	0
166	23.3238	23.3238	23.3238	1.72278e-05	0
167	23.3238	23.3238	23.3238	1.72278e-05	0
168	23.3238	23.3238	23.3238	1.72278e-05	0
169	23.3238	23.3238	23.3238	1.72278e-05	0
170	23.3238	23.3238	23.3238	1.72278e-05	0
171	23.3238	23.3238	23.3238	1.72278e-05	0
172	23.3238	23.3238	23.3238	1.72278e-05	0
173	23.3238	23.3238	23.3238	1.72278e-05	0
174	23.3238	23.3238	23.3238	1.72278e-05	0
175	23.3238	23.3238	23.3238	1.72278e-05	0
176	23.3238	23.3238	23.3238	1.72278e-05	0
177	23.3238	23.3238	23.3238	1.72278e-05	0
178	23.3238	23.3238	23.3238	1.72278e-05	0
179	23.3238	23.3238	23.3238	1.72278e-05	0
180	23.3238	23.3238	23.3238	1.72278e-05	0
181	23.3238	23.3238	23.3238	1.72278e-05	0
182	23.3238	23.3238	23.3238	1.72278e-05	0
183	23.3238	23.3238	23.3238	1.72278e-05	0
184	23.3238	23.3238	23.3238	1.72278e-05	0
185	23.3238	23.3238	23.3238	1.72278e-05	0
186	23.3238	23.3238	23.3238	1.72278e-05	0
187	23.3238	23.3238	23.3238	1.72278e-05	0
188	23.3238	23.3238	23.3238	1.72278e-05	0
189	23.3238	23.3238	23.3238	1.72278e-05	0
190	23.3238	23.3238	23.3238	1.72278e-05	0
191	23.3238	23.3238	23.3238	1.72278e-05	0
192	23.3238	23.3238	23.3238	1.72278e-05	0
193	23.3238	23.3238	23.3238	1.72278e-05	0
194	23.3238	23.3238	23.3238	1.72278e-05	0
195	23.3238	23.3238	23.3238	1.72278e-05	0
196	23.3238	23.3238	23.3238	1.72278e-05	0
197	23.3238	23.3238	23.3238	1.72278e-05	0
198	23.3238	23.3238	23.3238	1.72278e-05	0
199	23.3238	23.3238	23.3238	1.72278e-05	0
200	23.3238	23.3238	23.3238	1.72278e-05	0
201	23.3238	23.3238	23.3238	1.72278e-05	0
202	23.3238	23.3238	23.3238	1.72278e-05	0
203	23.3238	23.3238	23.3238	1.72278e-05	0
204	23.3238	23.3238	23.3238	1.72278e-05	0
205	23.3238	23.3238	23.3238	1.72278e-05	0
206	23.3238	23.3238	23.3238	1.72278e-05	0
207	23.3238	23.3238	23.3238	1.72278e-05	0
208	23.3238	23.3238	23.3238	1.72278e-05	0
209	23.3238	23.3238	23.3238	1.72278e-05	0
210	23.3238	23.3238	23.3238	1.72278e-05	0
211	23.3238	23.3238	23.3238	1.72278e-05	0
212	23.3238	23.3238	23.3238	1.72278e-05	0
213	23.3238	23.3238	23.3238	1.72278e-05	0
214	23.3238	23.3238	23.3238	1.72278e-05	0
215	23.3238	23.3238	23.3238	1.72278e-05	0
216	23.3238	23.3238	23.3238	1.72278e-05	0
